plot,block,treatment,count.dates,quadrat,wh.coty,wh.0.2,wh.2.4,wh.4.12,wh.12,weekly.total,c.2,2.12,recruitment,Spring.Rylage,Mid-June,Alfalfa.1,Small.Grains,Forage.2,,,,,cumulative.coty,cumulative.0.2,cumulative,total
205,2,alfalfa/orchardgrass,6/28/23,1M,0,12,5,0,0,17,12,5,5,,,,,,,,,,7,41,,
205,2,alfalfa/orchardgrass,7/6/23,1M,0,0,4,7,2,13,0,13,-4,,,,,,,,,,7,41,,
205,2,alfalfa/orchardgrass,7/12/23,1M,0,0,5,1,0,6,0,6,-7,,,,,,,,,,7,41,,
205,2,alfalfa/orchardgrass,7/18/23,1M,0,0,7,1,0,8,0,8,2,,,,,,,,,,7,41,,
205,2,alfalfa/orchardgrass,7/25/23,1M,0,1,5,1,0,7,1,6,-1,,,,,,,,,,7,42,,
205,2,alfalfa/orchardgrass,7/31/23,1M,0,5,5,1,0,11,5,6,4,,,,,,,,,,7,47,,
205,2,alfalfa/orchardgrass,8/10/23,1M,0,2,7,1,0,10,2,8,-1,,,,,,,,,,7,49,,
205,2,alfalfa/orchardgrass,8/15/23,1M,0,0,7,1,0,8,0,8,-2,,,,,,,,,,7,49,,
205,2,alfalfa/orchardgrass,8/22/23,1M,0,2,5,0,0,7,2,5,-1,,,,,,,,,,7,51,,
205,2,alfalfa/orchardgrass,8/31/23,1M,0,1,14,0,0,15,1,14,8,,,,,,,,,,7,52,,
205,2,alfalfa/orchardgrass,9/8/23,1M,0,0,14,0,0,14,0,14,-1,,,,,,,,,,7,52,,
205,2,alfalfa/orchardgrass,9/13/23,1M,0,0,9,5,0,14,0,14,0,,,,,,,,,,7,52,,
205,2,alfalfa/orchardgrass,9/22/23,1M,0,3,4,0,0,7,3,4,-7,,,,,,,,,,,,,
205,2,alfalfa/orchardgrass,9/29/23,1M,0,0,7,0,0,7,0,7,0,,,,,,,,,,,,,
206,2,ryelage-sorghum sudangrass,5/4/23,1M,0,0,0,0,0,0,0,0,0,1,0,26,41,47,,,,,0,0,47,47
206,2,ryelage-sorghum sudangrass,5/16/23,1M,0,1,0,0,0,1,1,0,1,,,,,,,,,,0,1,,
206,2,ryelage-sorghum sudangrass,5/22/23,1M,0,0,0,0,0,0,0,0,-1,,,,,,,,,,0,1,,
206,2,ryelage-sorghum sudangrass,5/30/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,1,,
206,2,ryelage-sorghum sudangrass,6/5/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,1,,
206,2,ryelage-sorghum sudangrass,6/13/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,1,,
206,2,ryelage-sorghum sudangrass,6/21/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,1,,
206,2,ryelage-sorghum sudangrass,6/28/23,1M,0,26,0,0,0,26,26,0,26,,,,,,,,,,0,27,,
206,2,ryelage-sorghum sudangrass,7/6/23,1M,0,0,20,7,0,27,0,27,1,,,,,,,,,,0,27,,
206,2,ryelage-sorghum sudangrass,7/12/23,1M,0,9,12,14,0,35,9,26,8,,,,,,,,,,0,36,,
206,2,ryelage-sorghum sudangrass,7/18/23,1M,0,0,19,8,6,33,0,33,-2,,,,,,,,,,0,36,,
206,2,ryelage-sorghum sudangrass,7/25/23,1M,0,4,10,23,4,41,4,37,8,,,,,,,,,,0,40,,
